PID	Status	Label
47478	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
990	0	com.apple.synapse.contentlinkingd
-	0	com.microsoft.update.agent
24693	0	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
940	0	application.com.figma.agent.1176418.14015193
11274	255	com.wacom.wacomtablet
980	0	com.apple.triald
697	0	com.apple.tccd
-	0	com.apple.nexusd
836	0	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
746	0	com.apple.replayd
689	0	com.apple.coreservices.uiagent
954	0	com.apple.icloud.searchpartyuseragent
-	0	com.apple.AccessibilityVisualsAgent
866	0	com.apple.Siri.agent
-	0	com.apple.installd.user
968	0	com.apple.privatecloudcomputed
29203	0	com.apple.textunderstandingd
753	0	com.apple.liveactivitiesd
841	0	com.apple.akd
98472	0	com.apple.CallHistoryPluginHelper
12154	0	com.apple.jetpackassetd
29038	0	com.apple.homeeventsd
99524	0	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
30844	0	com.apple.managedcorespotlightd.022D8105-7ECC-F99E-BBDA-F0F3A95E43A2
876	0	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.PlatformSSOUIAgent
39615	0	com.apple.speechmaintenanced
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.sharereportingd
-	0	com.apple.PIPAgent
742	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
-	0	com.apple.printtool.agent
-	0	com.apple.callintelligenced
878	0	com.apple.askpermissiond
-	0	com.unicorn-soft.AutoLaunchHelper
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
47491	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
849	0	com.apple.FeatureAccessAgent
79555	0	com.apple.storeuid
-	0	com.apple.devicemanagementclient.alertagent
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
895	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
39469	0	com.apple.remindd
-	0	com.apple.appsleep
822	0	com.apple.duetexpertd
727	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
741	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
46407	0	com.apple.mdworker.shared.10000000-0700-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent_x86_64
696	0	com.apple.lsd
46735	0	com.apple.mdworker.shared.0F000000-0700-0000-0000-000000000000
985	0	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
739	0	com.apple.pluginkit.pkd
11063	0	com.apple.CampoRemoteService
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.webkit.webpushd
29085	0	com.apple.weatherd
946	0	application.com.apple.Stickies.1152921500311904901.1152921500311904906
956	0	com.apple.cache_delete
-	127	ai.openclaw.cache-clean-2200
-	0	com.apple.symptomsd-diag.agent
740	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
98471	0	com.apple.CallHistorySyncHelper
941	0	com.apple.colorsync.useragent
1014	0	com.apple.analyticsagent
851	0	com.apple.appleaccountd
987	0	com.apple.parsecd
39779	0	com.apple.mlruntimed
39317	1	com.apple.Dock.agent
49672	0	com.apple.parsec-fbf
716	0	com.apple.dmd
781	0	com.apple.transparencyd
796	0	com.apple.usbnotificationagent
818	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
683	0	com.apple.UserEventAgent-Aqua
923	0	application.com.pilotmoon.popclip.712867.712874
809	0	com.apple.followupd
761	0	com.apple.identityservicesd
748	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
912	0	com.apple.generativeexperiencesd
813	0	com.apple.ScreenTimeSettingsAgent
99958	0	com.apple.XProtect.agent.scan
926	0	com.apple.storekitagent
-	0	com.apple.security.DiskUnmountWatcher
770	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
1582	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
705	0	com.apple.backgroundtaskmanagement.agent
914	0	com.apple.intelligenceflowd
-	0	com.apple.icloudwebd
29393	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
-	78	Canva
29174	0	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
757	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
722	0	com.apple.coreservices.sharedfilelistd
693	0	com.apple.pboard
-	0	com.apple.devicemanagementclient.ManagedAppsAgent
950	0	application.mertbulan.TranslateBar.959033.959078
45611	0	application.com.apple.Music.1152921500311889706.1152921500311889711
-	0	com.apple.nowplayingtouchui
28581	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	0	com.apple.reversetemplated
18614	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
732	0	com.apple.rapportd
97324	0	application.com.apple.Photos.1152921500311897416.1152921500311898392
958	0	com.apple.SoftwareUpdateNotificationManager
46813	0	com.apple.mdworker.shared.02000000-0000-0000-0000-000000000000
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
44546	0	com.apple.mdworker.shared.0D000000-0700-0000-0000-000000000000
902	0	com.apple.TextInputUI.xpc.CursorUIViewService
47895	0	com.apple.mdworker.shared.05000000-0300-0000-0000-000000000000
-	0	com.apple.metadata.mdflagwriter
44456	0	com.apple.mdworker.shared.03000000-0700-0000-0000-000000000000
30879	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
52323	0	com.apple.mdworker.shared.0E000000-0200-0000-0000-000000000000
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
44614	0	com.apple.mdworker.shared.0A000000-0400-0000-0000-000000000000
691	0	com.apple.containermanagerd
806	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
49042	0	com.apple.mdworker.shared.04000000-0200-0000-0000-000000000000
-	0	com.apple.Notes.datastore
29590	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
-	1	com.box.Box-Local-Com-Server.launch
694	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
28969	0	com.apple.managedappdistributionagent
780	0	com.apple.accountsd
962	0	com.apple.cdpd
811	0	com.apple.routined
1013	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
695	0	com.apple.BiomeAgent
861	0	ai.openclaw.gateway
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
751	0	com.apple.audio.AudioComponentRegistrar
963	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
798	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
905	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
834	0	com.apple.notificationcenterui.agent
852	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
864	0	com.apple.imklaunchagent
738	0	com.apple.FileProvider
11082	0	com.apple.imcore.imtransferagent
771	0	com.apple.mobiletimerd
-	0	com.apple.btsa
867	0	org.pqrs.service.agent.Karabiner-NotificationWindow
