PID	Status	Label
-	0	com.apple.nexusd
768	0	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
961	0	com.apple.replayd
612	0	com.apple.coreservices.uiagent
868	0	com.apple.icloud.searchpartyuseragent
-	0	com.apple.AccessibilityVisualsAgent
718	0	com.apple.Siri.agent
-	0	com.apple.installd.user
3383	0	com.apple.privatecloudcomputed
2738	0	com.apple.textunderstandingd
797	0	com.apple.liveactivitiesd
773	0	com.apple.akd
9074	0	com.apple.CallHistoryPluginHelper
948	0	com.apple.jetpackassetd
1756	0	com.apple.homeeventsd
-	0	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
2921	0	com.apple.managedcorespotlightd.022D8105-7ECC-F99E-BBDA-F0F3A95E43A2
882	0	application.com.wacom.WacomTouchDriver.1167334.1167339
725	0	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
650	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
-	0	com.apple.printtool.agent
-	0	com.apple.callintelligenced
727	0	com.apple.askpermissiond
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
36022	0	com.apple.webinspectord
20878	0	application.com.apple.Music.1152921500311888647.1152921500311888652
842	0	application.com.figma.agent.2369985.13714131
-	0	com.valvesoftware.steamclean
14730	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
872	0	com.apple.FeatureAccessAgent
-	0	com.apple.storeuid
2709	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
780	0	com.apple.CryptoTokenKit.ahp.agent
2633	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
32367	0	com.apple.remindd
-	0	com.apple.appsleep
817	0	com.apple.duetexpertd
746	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
666	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
620	0	com.apple.lsd
802	0	com.apple.siri.context.service
2660	0	com.apple.fskit.fskit_agent
658	0	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
2650	0	com.apple.webkit.webpushd
1769	0	com.apple.weatherd
36003	0	application.com.apple.Safari.673290.674174
676	0	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
659	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
9073	0	com.apple.CallHistorySyncHelper
858	0	com.apple.colorsync.useragent
1038	0	com.apple.analyticsagent
871	0	com.apple.appleaccountd
788	0	com.apple.parsecd
2915	0	com.apple.mlruntimed
32638	1	com.apple.Dock.agent
61761	0	com.apple.parsec-fbf
642	0	com.apple.dmd
786	0	application.io.fadel.MissionControlPlus.573031.573487
687	0	com.apple.transparencyd
787	0	com.apple.usbnotificationagent
690	0	com.apple.AppSSOAgent
33739	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
604	0	com.apple.UserEventAgent-Aqua
769	0	com.apple.followupd
661	0	com.apple.identityservicesd
648	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
751	0	com.apple.generativeexperiencesd
2736	0	com.apple.XProtect.agent.scan
798	0	com.apple.storekitagent
16930	0	com.apple.security.DiskUnmountWatcher
640	0	com.apple.CoreLocationAgent
35430	0	application.com.apple.MobileSMS.1152921500311888133.1152921500311888203
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
1000	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
34285	-9	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
2386	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
-	0	Canva
2383	0	com.apple.feedbackd
-	0	com.apple.storedownloadd
737	0	com.apple.weather.menu
-	0	com.apple.SpacesTouchBarAgent.app
738	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
654	0	com.apple.coreservices.sharedfilelistd
614	0	com.apple.pboard
834	0	application.com.apple.Stickies.1152921500311902118.1152921500311902123
-	0	com.apple.nowplayingtouchui
1873	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
9348	0	com.apple.reversetemplated
1045	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
630	0	com.apple.rapportd
855	0	com.apple.SoftwareUpdateNotificationManager
